customer_id,gender,senior_citizen,is_senior,partner,dependents,tenure,tenure_group,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,charge_group,total_charges,churn,churn_flag,monthly_revenue_at_risk,annual_revenue_at_risk
7590-VHVEG,Female,0,Non-Senior,Yes,No,1,0-6 Months,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,Low Charge,29.85,No,0,0.0,0.0
5575-GNVDE,Male,0,Non-Senior,No,No,34,25-48 Months,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,Medium Charge,1889.5,No,0,0.0,0.0
3668-QPYBK,Male,0,Non-Senior,No,No,2,0-6 Months,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,Medium Charge,108.15,Yes,1,53.85,646.2
7795-CFOCW,Male,0,Non-Senior,No,No,45,25-48 Months,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,Medium Charge,1840.75,No,0,0.0,0.0
9237-HQITU,Female,0,Non-Senior,No,No,2,0-6 Months,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,High Charge,151.65,Yes,1,70.7,848.4000000000001
9305-CDSKC,Female,0,Non-Senior,No,No,8,7-12 Months,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,High Charge,820.5,Yes,1,99.65,1195.8000000000002
1452-KIOVK,Male,0,Non-Senior,No,Yes,22,13-24 Months,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,High Charge,1949.4,No,0,0.0,0.0
6713-OKOMC,Female,0,Non-Senior,No,No,10,7-12 Months,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,Low Charge,301.9,No,0,0.0,0.0
7892-POOKP,Female,0,Non-Senior,Yes,No,28,25-48 Months,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,High Charge,3046.05,Yes,1,104.8,1257.6
6388-TABGU,Male,0,Non-Senior,No,Yes,62,49+ Months,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,Medium Charge,3487.95,No,0,0.0,0.0
9763-GRSKD,Male,0,Non-Senior,Yes,Yes,13,13-24 Months,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,Medium Charge,587.45,No,0,0.0,0.0
7469-LKBCI,Male,0,Non-Senior,No,No,16,13-24 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,Low Charge,326.8,No,0,0.0,0.0
8091-TTVAX,Male,0,Non-Senior,Yes,No,58,49+ Months,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,High Charge,5681.1,No,0,0.0,0.0
0280-XJGEX,Male,0,Non-Senior,No,No,49,49+ Months,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,High Charge,5036.3,Yes,1,103.7,1244.4
5129-JLPIS,Male,0,Non-Senior,No,No,25,25-48 Months,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,High Charge,2686.05,No,0,0.0,0.0
3655-SNQYZ,Female,0,Non-Senior,Yes,Yes,69,49+ Months,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,High Charge,7895.15,No,0,0.0,0.0
8191-XWSZG,Female,0,Non-Senior,No,No,52,49+ Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,Low Charge,1022.95,No,0,0.0,0.0
9959-WOFKT,Male,0,Non-Senior,No,Yes,71,49+ Months,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,High Charge,7382.25,No,0,0.0,0.0
4190-MFLUW,Female,0,Non-Senior,Yes,Yes,10,7-12 Months,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,Medium Charge,528.35,Yes,1,55.2,662.4000000000001
4183-MYFRB,Female,0,Non-Senior,No,No,21,13-24 Months,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,High Charge,1862.9,No,0,0.0,0.0
8779-QRDMV,Male,1,Senior,No,No,1,0-6 Months,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,Medium Charge,39.65,Yes,1,39.65,475.79999999999995
1680-VDCWW,Male,0,Non-Senior,Yes,No,12,7-12 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,Low Charge,202.25,No,0,0.0,0.0
1066-JKSGK,Male,0,Non-Senior,No,No,1,0-6 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,Low Charge,20.15,Yes,1,20.15,241.79999999999998
3638-WEABW,Female,0,Non-Senior,Yes,No,58,49+ Months,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,Medium Charge,3505.1,No,0,0.0,0.0
6322-HRPFA,Male,0,Non-Senior,Yes,Yes,49,49+ Months,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,Medium Charge,2970.3,No,0,0.0,0.0
6865-JZNKO,Female,0,Non-Senior,No,No,30,25-48 Months,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,Medium Charge,1530.6,No,0,0.0,0.0
6467-CHFZW,Male,0,Non-Senior,Yes,Yes,47,25-48 Months,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,High Charge,4749.15,Yes,1,99.35,1192.1999999999998
8665-UTDHZ,Male,0,Non-Senior,Yes,Yes,1,0-6 Months,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,Low Charge,30.2,Yes,1,30.2,362.4
5248-YGIJN,Male,0,Non-Senior,Yes,No,72,49+ Months,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,High Charge,6369.45,No,0,0.0,0.0
8773-HHUOZ,Female,0,Non-Senior,No,Yes,17,13-24 Months,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,Medium Charge,1093.1,Yes,1,64.7,776.4000000000001
3841-NFECX,Female,1,Senior,Yes,No,71,49+ Months,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,High Charge,6766.95,No,0,0.0,0.0
4929-XIHVW,Male,1,Senior,Yes,No,2,0-6 Months,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,High Charge,181.65,No,0,0.0,0.0
6827-IEAUQ,Female,0,Non-Senior,Yes,Yes,27,25-48 Months,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,Medium Charge,1874.45,No,0,0.0,0.0
7310-EGVHZ,Male,0,Non-Senior,No,No,1,0-6 Months,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,Low Charge,20.2,No,0,0.0,0.0
3413-BMNZE,Male,1,Senior,No,No,1,0-6 Months,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,Medium Charge,45.25,No,0,0.0,0.0
6234-RAAPL,Female,0,Non-Senior,Yes,Yes,72,49+ Months,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,High Charge,7251.7,No,0,0.0,0.0
6047-YHPVI,Male,0,Non-Senior,No,No,5,0-6 Months,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,Medium Charge,316.9,Yes,1,69.7,836.4000000000001
6572-ADKRS,Female,0,Non-Senior,No,No,46,25-48 Months,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,High Charge,3548.3,No,0,0.0,0.0
5380-WJKOV,Male,0,Non-Senior,No,No,34,25-48 Months,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,High Charge,3549.25,Yes,1,106.35,1276.1999999999998
8168-UQWWF,Female,0,Non-Senior,No,No,11,7-12 Months,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,High Charge,1105.4,Yes,1,97.85,1174.1999999999998
8865-TNMNX,Male,0,Non-Senior,Yes,Yes,10,7-12 Months,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,Medium Charge,475.7,No,0,0.0,0.0
