product_name,sales,profit
Cubify CubeX 3D Printer Double Head Print,11099.96,-8879.97
Lexmark MX611dhe Monochrome Laser Printer,16829.9,-4589.97
Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.99
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64,-2876.12
Bush Advantage Collection Racetrack Conference Table,9544.73,-1934.4
GBC DocuBind P400 Electric Binding System,17965.07,-1878.17
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.08
Martin Yale Chadless Opener Electric Letter Opener,16656.2,-1299.18
Balt Solid Wood Round Tables,6518.75,-1201.06
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1706.25,-1148.44
